CustomerID,recency,frequency,monetary,first_purchase,last_purchase,country,n_unique_products,avg_order_value,tenure_days,purchase_rate,clv,R_score,F_score,M_score,RFM_score,segment,churned
12346,326,1,77183.6,2011-01-18 10:01:00,2011-01-18 10:01:00,United Kingdom,1,77183.6,326,0.09202453987730061,85233.42,1,1,5,7,Potential Loyalists,1
12347,2,7,4310.0,2010-12-07 14:57:00,2011-12-07 15:52:00,Iceland,103,615.7142857142857,367,0.5722070844686649,4227.79,5,5,5,15,Champions,0
12348,75,4,1797.24,2010-12-16 19:09:00,2011-09-25 13:13:00,Finland,22,449.31,358,0.33519553072625696,1807.28,2,4,4,10,Loyal Customers,0
12349,19,1,1757.55,2011-11-21 09:51:00,2011-11-21 09:51:00,Italy,73,1757.55,19,1.0,21090.6,4,1,4,9,Potential Loyalists,0
12350,310,1,334.4,2011-02-02 16:01:00,2011-02-02 16:01:00,Norway,17,334.4,310,0.0967741935483871,388.34,1,1,2,4,Lost,1
12352,36,8,2506.04,2011-02-16 12:33:00,2011-11-03 14:37:00,Norway,59,313.255,297,0.8080808080808081,3037.62,3,5,5,13,Champions,0
12353,204,1,89.0,2011-05-19 17:47:00,2011-05-19 17:47:00,Bahrain,4,89.0,204,0.14705882352941177,157.06,1,1,1,3,Lost,1
12354,232,1,1079.4,2011-04-21 13:11:00,2011-04-21 13:11:00,Spain,58,1079.4,232,0.12931034482758622,1674.93,1,1,4,6,At Risk,1
12355,214,1,459.4,2011-05-09 13:49:00,2011-05-09 13:49:00,Bahrain,13,459.4,214,0.14018691588785046,772.82,1,1,2,4,Lost,1
12356,23,3,2811.43,2011-01-18 09:50:00,2011-11-17 08:40:00,Portugal,53,937.1433333333333,326,0.2760736196319018,3104.65,4,3,5,12,Loyal Customers,0
12357,33,1,6207.67,2011-11-06 16:07:00,2011-11-06 16:07:00,Switzerland,131,6207.67,33,0.9090909090909091,67720.04,4,1,5,10,Loyal Customers,0
12358,2,2,1168.06,2011-07-12 10:04:00,2011-12-08 10:26:00,Austria,13,584.03,151,0.3973509933774835,2784.78,5,2,4,11,Loyal Customers,0
12359,58,4,6372.58,2011-01-12 12:43:00,2011-10-13 12:47:00,Cyprus,214,1593.145,332,0.3614457831325301,6910.03,3,4,5,12,Loyal Customers,0
12360,52,3,2662.06,2011-05-23 09:43:00,2011-10-18 15:22:00,Austria,105,887.3533333333334,201,0.44776119402985076,4767.87,3,3,5,11,Loyal Customers,0
12361,287,1,189.9,2011-02-25 13:51:00,2011-02-25 13:51:00,Belgium,10,189.9,287,0.10452961672473868,238.2,1,1,1,3,Lost,1
12362,3,10,5226.23,2011-02-17 10:30:00,2011-12-06 15:40:00,Belgium,201,522.6229999999999,296,1.0135135135135134,6356.23,5,5,5,15,Champions,0
12363,110,2,552.0,2011-04-11 13:29:00,2011-08-22 10:18:00,Unspecified,23,276.0,242,0.24793388429752067,821.16,2,2,3,7,Potential Loyalists,1
12364,8,4,1313.1,2011-08-19 15:24:00,2011-12-02 10:22:00,Belgium,70,328.275,112,1.0714285714285714,4220.68,5,4,4,13,Champions,0
12365,291,2,641.38,2011-02-21 13:51:00,2011-02-21 14:04:00,Cyprus,22,320.69,291,0.2061855670103093,793.46,1,2,3,6,At Risk,1
12367,4,1,168.9,2011-12-05 16:48:00,2011-12-05 16:48:00,Denmark,11,168.9,4,1.0,2026.8,5,1,1,7,Potential Loyalists,0
12370,51,4,3545.69,2010-12-14 12:58:00,2011-10-19 14:51:00,Cyprus,143,886.4225,360,0.3333333333333333,3545.69,3,4,5,12,Loyal Customers,0
12371,45,2,1887.96,2011-10-11 10:43:00,2011-10-26 10:16:00,Switzerland,63,943.98,60,1.0,11327.76,3,2,4,9,Potential Loyalists,0
12372,72,3,1298.04,2011-02-16 12:46:00,2011-09-29 12:12:00,Denmark,34,432.68,297,0.30303030303030304,1573.38,3,3,4,10,Loyal Customers,0
12373,311,1,364.6,2011-02-01 13:10:00,2011-02-01 13:10:00,Austria,14,364.6,311,0.09646302250803858,422.05,1,1,2,4,Lost,1
12374,25,1,742.9300000000001,2011-11-14 15:37:00,2011-11-14 15:37:00,Austria,33,742.9300000000001,25,1.0,8915.16,4,1,3,8,Potential Loyalists,0
12375,11,2,457.5,2011-09-02 14:23:00,2011-11-29 10:36:00,Finland,14,228.75,98,0.6122448979591837,1680.61,5,2,2,9,Potential Loyalists,0
12377,315,2,1628.12,2010-12-20 09:37:00,2011-01-28 15:45:00,Switzerland,72,814.06,355,0.16901408450704225,1651.05,1,2,4,7,Potential Loyalists,1
12378,130,1,4008.62,2011-08-02 10:34:00,2011-08-02 10:34:00,Switzerland,219,4008.62,130,0.23076923076923078,11100.79,2,1,5,8,Potential Loyalists,1
12379,82,2,852.24,2011-06-22 16:32:00,2011-09-19 10:09:00,Belgium,39,426.12,170,0.3529411764705882,1804.74,2,2,3,7,Potential Loyalists,0
12380,22,4,2724.81,2011-06-07 09:49:00,2011-11-18 11:27:00,Belgium,77,681.2025,186,0.6451612903225806,5273.83,4,4,5,13,Champions,0
12381,5,5,1845.31,2011-08-12 09:57:00,2011-12-05 12:44:00,Norway,70,369.062,120,1.25,5535.93,5,4,4,13,Champions,0
12383,185,5,1850.56,2010-12-22 14:28:00,2011-06-08 08:02:00,Belgium,84,370.11199999999997,352,0.42613636363636365,1892.62,1,4,4,9,Potential Loyalists,1
12384,29,2,585.27,2011-08-10 11:23:00,2011-11-11 08:39:00,Switzerland,26,292.635,122,0.49180327868852464,1727.03,4,2,3,9,Potential Loyalists,0
12386,338,2,401.9,2010-12-08 09:53:00,2011-01-06 12:37:00,Australia,10,200.95,367,0.16348773841961853,394.23,1,2,2,5,At Risk,1
12388,16,6,2780.66,2011-01-17 11:12:00,2011-11-24 12:30:00,Australia,57,463.4433333333333,327,0.5504587155963303,3061.28,4,4,5,13,Champions,0
12390,80,1,549.84,2011-09-21 09:33:00,2011-09-21 09:33:00,Belgium,32,549.84,80,0.375,2474.28,2,1,3,6,At Risk,0
12391,22,1,460.89,2011-11-18 12:07:00,2011-11-18 12:07:00,Cyprus,92,460.89,22,1.0,5530.68,4,1,2,7,Potential Loyalists,0
12393,72,4,1582.6000000000001,2011-01-11 09:47:00,2011-09-28 15:41:00,Australia,47,395.65000000000003,333,0.3603603603603604,1710.92,3,4,4,11,Loyal Customers,0
